iter	RMSE
0	1.149399371
1	1.135031564
2	1.117422281
3	1.100459622
4	1.089746361
5	1.074645201
6	1.062131486
7	1.049656013
8	1.036693154
9	1.024635318
10	1.01160285
11	1.003015822
12	0.9923163178
13	0.9813267597
14	0.9742823514
15	0.9624814183
16	0.9546357948
17	0.9454481257
18	0.936025512
19	0.9247421418
20	0.9166750193
21	0.9099021876
22	0.9024077598
23	0.8924460624
24	0.8844400916
25	0.8807413842
26	0.8744903496
27	0.865822493
28	0.8604900527
29	0.8538987084
30	0.8491194322
31	0.8417570156
32	0.8356030194
33	0.8292623238
34	0.822228628
35	0.8165001789
36	0.8121461401
37	0.8087886919
38	0.8044644986
39	0.8004312839
40	0.7937505639
41	0.7893278503
42	0.7855489022
43	0.7814228491
44	0.7771514067
45	0.773418705
46	0.7701076471
47	0.7674116241
48	0.7628522801
49	0.7590866439
50	0.7536157724
51	0.7478629807
52	0.7423054988
53	0.737860951
54	0.7352645597
55	0.7319124164
56	0.7273951093
57	0.7230580448
58	0.7178717667
59	0.7116300553
60	0.7075543064
61	0.7030537509
62	0.6983215989
63	0.6936312518
64	0.6890219743
65	0.685128818
66	0.6815571386
67	0.6762452219
68	0.6724174322
69	0.6693587437
70	0.6645440186
71	0.6604329608
72	0.6561795098
73	0.6531611933
74	0.6507094924
75	0.6474017802
76	0.6448286452
77	0.6427134553
78	0.638560021
79	0.6340113588
80	0.6277923812
81	0.6237754175
82	0.6211667867
83	0.6173296874
84	0.6130958187
85	0.6104180212
86	0.6072779879
87	0.6036878363
88	0.6009632816
89	0.597640734
90	0.5938461136
91	0.5900881863
92	0.5844080084
93	0.5818509593
94	0.5779714672
95	0.5742914374
96	0.569599435
97	0.5669730732
98	0.5649698924
99	0.561207359
100	0.5576919951
101	0.5548978314
102	0.5512987324
103	0.5467155061
104	0.544616373
105	0.5397502374
106	0.5366573038
107	0.5326057496
108	0.5287490919
109	0.5245740604
110	0.520539679
111	0.5168876842
112	0.5138269249
113	0.511955577
114	0.5075572839
115	0.5047431705
116	0.5023144385
117	0.4991132924
118	0.4953386891
119	0.493956386
120	0.4920412617
121	0.4905188091
122	0.4886095655
123	0.4857194651
124	0.48241992
125	0.4806494006
126	0.4775833219
127	0.4740329137
128	0.4709955487
129	0.4690565973
130	0.4659066198
131	0.4637378441
132	0.4609723022
133	0.4575194338
134	0.4549530682
135	0.4520262036
136	0.4497315883
137	0.4476517457
138	0.4444294138
139	0.4422160287
140	0.4397403654
141	0.4366182892
142	0.4339075825
143	0.4297996126
144	0.4283587423
145	0.4265042157
146	0.4231210306
147	0.4212538467
148	0.4191547123
149	0.4163916104
150	0.4146928859
151	0.4120973707
152	0.4098782308
153	0.4069189733
154	0.4043502169
155	0.4015803232
156	0.4001794373
157	0.3984633151
158	0.3966917816
159	0.394843463
160	0.3920966618
161	0.3900020949
162	0.388054137
163	0.385770417
164	0.3840805426
165	0.3814297773
166	0.3790997153
167	0.3768326439
168	0.3749444413
169	0.3726890986
170	0.3707394472
171	0.3693152974
