iter	Passed	Remaining
0	168	84238
1	179	44783
2	189	31389
3	199	24727
4	208	20685
5	218	17953
6	226	15968
7	235	14475
8	244	13334
9	257	12612
10	266	11836
11	275	11195
12	284	10663
13	293	10177
14	301	9740
15	309	9356
16	317	9024
17	325	8724
18	334	8456
19	342	8211
20	350	7987
21	358	7795
22	367	7617
23	376	7471
24	389	7407
25	401	7311
26	412	7225
27	423	7137
28	433	7034
29	442	6929
30	451	6835
31	460	6738
32	469	6639
33	477	6546
34	486	6460
35	495	6388
36	504	6307
37	512	6228
38	520	6152
39	528	6082
40	537	6015
41	547	5965
42	555	5901
43	564	5854
44	573	5802
45	584	5766
46	598	5768
47	608	5728
48	616	5674
49	625	5625
50	633	5576
51	641	5527
52	650	5482
53	658	5438
54	666	5394
55	675	5352
56	683	5313
57	692	5274
58	701	5243
59	711	5214
60	719	5179
61	728	5146
62	737	5113
63	746	5085
64	756	5060
65	765	5031
66	779	5037
67	790	5021
68	800	4997
69	810	4978
70	819	4953
71	829	4927
72	837	4901
73	846	4872
74	855	4845
75	863	4819
76	872	4794
77	881	4771
78	891	4751
79	901	4732
80	910	4710
81	919	4688
82	928	4664
83	937	4640
84	956	4670
85	965	4649
86	974	4627
87	985	4612
88	997	4605
89	1006	4586
90	1016	4567
91	1026	4552
92	1035	4530
93	1043	4507
94	1052	4488
95	1061	4467
96	1070	4447
97	1079	4427
98	1088	4408
99	1097	4389
100	1106	4371
101	1115	4351
102	1123	4331
103	1132	4312
104	1141	4292
105	1149	4273
106	1158	4255
107	1168	4239
108	1177	4224
109	1188	4212
110	1200	4206
111	1209	4191
112	1219	4177
113	1229	4162
114	1238	4146
115	1247	4128
116	1256	4113
117	1266	4098
118	1275	4083
119	1284	4067
120	1293	4052
121	1302	4036
122	1313	4024
123	1322	4009
124	1331	3995
125	1341	3980
126	1350	3966
127	1359	3951
128	1368	3935
129	1380	3930
130	1391	3920
131	1404	3914
132	1414	3903
133	1423	3888
134	1433	3874
135	1442	3860
136	1451	3845
137	1461	3832
138	1470	3819
139	1480	3805
140	1489	3792
141	1498	3778
142	1508	3764
143	1520	3758
144	1529	3744
145	1538	3731
146	1549	3720
147	1559	3708
148	1568	3695
149	1578	3683
150	1588	3670
151	1600	3663
152	1611	3655
153	1621	3642
154	1630	3628
155	1640	3617
156	1649	3604
157	1659	3591
158	1668	3578
159	1677	3564
160	1686	3551
161	1696	3538
162	1706	3527
163	1716	3515
164	1725	3504
165	1735	3491
166	1744	3479
167	1755	3468
168	1764	3455
169	1773	3443
170	1783	3431
171	1794	3422
172	1806	3415
173	1817	3405
174	1827	3393
175	1837	3382
176	1846	3369
177	1855	3357
178	1865	3345
179	1875	3333
180	1885	3322
181	1894	3310
182	1914	3316
183	1924	3305
184	1934	3293
185	1943	3280
186	1952	3268
187	1962	3256
188	1971	3243
189	1980	3231
190	1990	3219
191	2000	3208
192	2012	3200
193	2023	3191
194	2033	3179
195	2042	3167
196	2051	3155
197	2060	3142
198	2069	3130
199	2078	3117
200	2087	3105
201	2097	3094
202	2106	3082
203	2116	3071
204	2126	3060
205	2136	3049
206	2146	3038
207	2156	3026
208	2166	3015
209	2175	3004
210	2185	2992
211	2195	2981
212	2205	2971
213	2218	2964
214	2228	2954
215	2238	2942
216	2247	2931
217	2256	2919
218	2265	2906
219	2275	2895
220	2284	2884
221	2294	2873
222	2303	2861
223	2312	2849
224	2322	2838
225	2332	2828
226	2342	2817
227	2353	2807
228	2362	2795
229	2372	2784
230	2381	2773
231	2391	2762
232	2401	2751
233	2412	2742
234	2425	2735
235	2435	2724
236	2444	2712
237	2453	2700
238	2462	2689
239	2472	2679
240	2482	2667
241	2491	2656
242	2500	2644
243	2509	2633
244	2518	2621
245	2528	2610
246	2538	2600
247	2548	2589
248	2557	2578
249	2566	2566
250	2575	2555
251	2585	2544
252	2595	2534
253	2605	2523
254	2615	2513
255	2627	2504
256	2637	2494
257	2647	2482
258	2656	2471
259	2665	2460
260	2674	2449
261	2684	2438
262	2693	2427
263	2703	2416
264	2712	2405
265	2722	2394
266	2732	2384
267	2742	2374
268	2752	2363
269	2761	2352
270	2770	2341
271	2781	2331
272	2790	2320
273	2800	2310
274	2809	2299
275	2820	2289
276	2833	2280
277	2842	2270
278	2851	2258
279	2860	2247
280	2870	2237
281	2880	2226
282	2889	2215
283	2898	2204
284	2907	2193
285	2916	2182
286	2926	2171
287	2937	2162
288	2946	2151
289	2956	2140
290	2965	2130
291	2975	2119
292	2984	2108
293	2995	2098
